"claim_key","source_key","claim_type","statement","normalized_value","unit","geography","company_size_scope","sample_size","study_period","locator","review_status","notes"
"DESTATIS_2025_AI_USE_ALL","DESTATIS_AI_ADOPTION_TABLE","adoption_statistic","In 2025, 26% of German enterprises in the survey scope used artificial-intelligence technologies.","26","percent","DE","All enterprises in the Destatis ICT survey scope; employee threshold and EU enterprise definition must be retained","","2025","table lines 130-139; status 24 Nov 2025","evidence_checked","Do not compare directly with Bitkom's 20+ employee survey"
"DESTATIS_2025_AI_USE_10_49","DESTATIS_AI_ADOPTION_TABLE","adoption_statistic","In 2025, 23% of German enterprises with 10–49 employees used artificial-intelligence technologies.","23","percent","DE","10-49 employees","","2025","table lines 130-139; status 24 Nov 2025","evidence_checked","EU enterprise definition applies from reporting year 2025"
"DESTATIS_2025_AI_USE_50_249","DESTATIS_AI_ADOPTION_TABLE","adoption_statistic","In 2025, 36% of German enterprises with 50–249 employees used artificial-intelligence technologies.","36","percent","DE","50-249 employees","","2025","table lines 130-139; status 24 Nov 2025","evidence_checked","EU enterprise definition applies from reporting year 2025"
"DESTATIS_2025_AI_USE_250_PLUS","DESTATIS_AI_ADOPTION_TABLE","adoption_statistic","In 2025, 57% of German enterprises with more than 250 employees used artificial-intelligence technologies.","57","percent","DE",">250 employees","","2025","table lines 130-139; status 24 Nov 2025","evidence_checked","Source wording says more than 250; retain exact boundary pending methodology review"
"DESTATIS_2025_TEXT_MINING_SHARE","DESTATIS_AI_ADOPTION_TABLE","technology_mix_statistic","Among German enterprises using AI in 2025, 52% used text-mining technology.","52","percent","DE","AI-using enterprises in survey scope","","2025","table lines 140-148; status 24 Nov 2025","evidence_checked","Denominator is AI-using enterprises, not all enterprises"
"DESTATIS_2025_NLG_CODE_SHARE","DESTATIS_AI_ADOPTION_TABLE","technology_mix_statistic","Among German enterprises using AI in 2025, 35% used natural-language generation, including programming code.","35","percent","DE","AI-using enterprises in survey scope","","2025","table lines 140-151; status 24 Nov 2025","evidence_checked","Denominator is AI-using enterprises"
"DESTATIS_2025_MEDIA_GENERATION_SHARE","DESTATIS_AI_ADOPTION_TABLE","technology_mix_statistic","Among German enterprises using AI in 2025, 52% used technology that generates images, video, sound, or audio.","52","percent","DE","AI-using enterprises in survey scope","","2025","table lines 140-152; status 24 Nov 2025","evidence_checked","Denominator is AI-using enterprises"
"DESTATIS_2025_ML_SHARE","DESTATIS_AI_ADOPTION_TABLE","technology_mix_statistic","Among German enterprises using AI in 2025, 23% reported using machine-learning technology.","23","percent","DE","AI-using enterprises in survey scope","","2025","table lines 140-154; status 24 Nov 2025","evidence_checked","Destatis category definitions require methodology review"
"DESTATIS_2025_WORKFLOW_DECISION_SHARE","DESTATIS_AI_ADOPTION_TABLE","technology_mix_statistic","Among German enterprises using AI in 2025, 27% used AI for workflow automation or decision-making.","27","percent","DE","AI-using enterprises in survey scope","","2025","table lines 140-156; status 24 Nov 2025","evidence_checked","Denominator is AI-using enterprises"
"DESTATIS_2025_AUTONOMOUS_MOVEMENT_SHARE","DESTATIS_AI_ADOPTION_TABLE","technology_mix_statistic","Among German enterprises using AI in 2025, 6% used AI for autonomous movement of machines.","6","percent","DE","AI-using enterprises in survey scope","","2025","table lines 140-157; status 24 Nov 2025","evidence_checked","Denominator is AI-using enterprises"
"DESTATIS_2025_CONSIDERED_NOT_USING","DESTATIS_AI_BARRIERS_TABLE","adoption_barrier_statistic","In 2025, 20% of German enterprises in the survey scope had considered using AI technologies but did not yet use them.","20","percent","DE","All enterprises in survey scope","","2025","table lines 130-140; status 24 Nov 2025","evidence_checked","Barrier percentages below use this subgroup as denominator"
"DESTATIS_2025_BARRIER_KNOWLEDGE","DESTATIS_AI_BARRIERS_TABLE","barrier_statistic","Among enterprises that had considered AI but did not use it, 72% cited missing knowledge.","72","percent","DE","Enterprises that considered AI but did not use it","","2025","table lines 141-152; status 24 Nov 2025","evidence_checked","Subgroup denominator; not all enterprises"
